Australia Basin 1
110
103
84
75
54
43
23
5
2
4
16
1
351
333
325
305
291
305
315
341
355
21
21
17
20
54
73
79
51
12
6
16
21
40
63
78
88
91
113
129
145
162
164
159
146
118
96
88
82
74
42
16
358
5
10
23
41
46
48
52
51
50
42
44
81
94
109
124
133
139
152
166
203
186
168
169
155
160
164
189
208
176
147
142
134
123
105
140
172
153
119
82
70
61
52
49
44
52
31
24
22
19
6
0
323
293
285
279
265
258
269
295
319
344
14
18
2
10
350
36
24
39
47
51
10
26
52
83
96
94
92
100
84
94
99
114
118
131
129
135
128
135
129
133
133
139
142
148
162
181
187
209
234
272
280
249
234
231
325
213
216
211
206
213
203
218
212
212
230
228
235
228
223
194
200
205
209
200
194
187
176
164
150
132
109
79
69
57
57
61
58
50
52
42
26
47
63
102
103
115
110
115
112
113
113
113
137
156
180
195
215
238
250
218
209
191
193
182
172
151
142
122
120
107
91
84
64
53
26
2
350
328
333
336
8
36
64
76
85
90
72
84
69
59
78
100
133
146
151
156
