,River,Dispersion
0,Yukon,0.574
1,Tagliomento Transition,0.644
2,Piave,0.715
3,Ganges 1,0.637
4,Gandak,0.632
5,Ghaghara,0.689
6,Athabasca,0.708
7,Athabasca 2,0.67
8,Ucayali Anastomosing,0.645
9,Kasai ,0.763
10,Sungai Pomats Tributary,0.701
11,Strickland,0.632
