Piave,Ganges 1,Ghaghara,Athabasca,Ucayali Anastomosing,Sungai Pomats Tributary,Strickland
228,41,130,346,301,206,191
225,78,122,355,295,231,185
226,353,118,17,277,180,189
215,74,89,7,241,181,158
219,80,115,350,258,195,128
214,73,113,60,284,179,98
206,354,160,349,300,198,73
209,28,122,26,325,162,58
220,355,125,10,323,215,59
216,38,196,356,308,186,78
213,56,164,353,322,158,122
186,88,130,350,236,171,107
161,76,100,349,280,208,84
158,349,90,342,288,215,114
152,42,117,341,353,217,155
149,67,131,351,12,205,191
145,128,169,8,59,222,211
140,76,130,24,122,210,150
135,62,111,10,88,202,166
135,56,85,350,131,186,214
129,41,49,3,107,195,278
126,31,37,38,68,234,241
128,47,34,348,16,212,204
130,87,49,324,343,192,165
132,123,87,358,311,170,100
127,139,116,14,302,137,77
