Ferron FM
11
15
28
19
12
9
1
354
356
357
0
338
320
100
61
65
76
94
41
65
50
54
46
52
48
55
32
31
29
31
13
30
14
25
25
18
25
359
29
53
14
13
14
13
11
23
7
1
1
5
355
359
358
0
346
353
344
3
348
344
337
341
342
335
320
67
64
56
74
19
35
23
11
35
0
28
20
7
8
6
356
7
47
52
45
58
31
35
36
20
35
28
40
37
33
31
27
27
25
16
23
34
25
2
11
11
13
36
8
11
18
16
13
13
3
1
20
21
29
0
6
11
4
16
16
2
354
6
357
359
356
6
0
11
1
1
1
342
347
353
321
332
344
334
332
330
37
107
37
51
37
42
61
58
26
44
18
25
17
20
22
149
10
23
29
25
24
27
22
22
17
19
31
29
21
15
11
7
37
19
0
16
22
6
8
13
5
28
11
0
10
13
14
11
2
3
8
1
1
2
4
350
354
359
348
353
331
3
345
332
349
321
324
330
324
13
5
34
36
4
15
17
351
8
7
6
359
6
346
25
8
9
