Lat,Long
42.78771111,-100.021483
-43.5798,171.758039
46.18223611,12.956894
-43.82218333,171.6558944
41.44352222,75.22903889
60.48180278,-144.8159361
-43.52378056,170.4858028
61.57224722,-139.776025
63.93086389,-17.66119722
65.47516667,-14.56250556
65.16319444,-15.30772222
65.46001944,-14.57679722
63.69828333,-19.65465
-44.49017778,168.8359
-43.27453333,171.0486444
-43.20560278,171.1507944
-43.12161389,171.3425111
-43.53615,170.8374583
63.93061667,-17.01518889
63.98340556,-16.94790278
41.77380556,75.35623056
-43.71775,170.1557333
-43.51749722,170.4898278
-44.71568889,170.4590806
-43.32161389,171.9858667
67.34938056,-51.5178
67.14261389,-51.20033056
46.16190833,12.81567222
46.14946667,12.67876667
65.43984167,-19.21668333
63.88482778,-17.51686667
63.78706111,-17.90639167
27.61343889,95.14635278
-43.95901389,171.2975667
69.50628333,-148.5204833
49.36304167,20.12138611
64.48275,-147.0017694
26.51556944,86.92273611
41.273,-98.39915278
29.93245556,78.16220278
52.25917222,-117.5257306
25.78495,89.78558611
63.58073333,-145.8884778
63.57408889,-151.3883972
62.00517778,-140.5580444
62.46758056,-142.6257972
62.31416389,-150.131825
39.52423333,16.74754444
39.85251667,16.44335833
39.88599444,16.47073611
40.07589444,16.34358333
63.86699444,-16.85138889
61.45651667,-148.7175806
