,River,Dispersion
0,Yukon,0.534
1,Tagliomento Transition,0.598
2,Piave,0.666
3,Ganges 1,0.592
4,Gandak,0.587
5,Ghaghara,0.639
6,Athabasca,0.66
7,Athabasca 2,0.624
8,Ucayali Anastomosing,0.6
9,Kasai ,0.711
10,Sungai Pomats Tributary,0.654
11,Strickland,0.588
