Yukon,Tagliomento Transition,Piave,Ganges 1,Gandak,Ghaghara,Athabasca,Athabasca 2,Ucayali Anastomosing,Kasai ,Sungai Pomats Tributary,Strickland
284,139,83,61,20,56,54,56,258,355,164,250
266,136,77,45,86,73,59,94,279,339,200,219
252,147,68,51,58,78,63,66,300,354,178,190
224,153,57,27,36,69,58,58,329,328,145,153
202,160,44,53,5,53,52,35,0,326,174,130
219,162,41,60,53,74,46,60,331,349,203,109
247,164,66,26,63,106,46,77,325,19,197,103
267,163,86,31,80,77,41,354,320,40,174,143
296,159,110,42,85,44,33,19,318,10,211,100
202,161,72,59,77,31,28,46,336,44,185,58
239,161,67,69,101,27,27,64,10,9,192,99
269,163,72,83,84,40,27,81,16,16,163,112
217,170,78,104,94,55,25,92,9,47,202,131
228,176,110,121,99,67,24,111,351,14,161,162
215,180,139,136,105,43,24,87,325,340,225,194
204,181,140,128,110,74,24,52,338,3,133,211
180,189,142,125,108,65,27,57,18,0,207,237
167,203,177,119,122,51,26,39,8,29,188,252
155,212,121,57,136,36,23,12,354,22,142,256
151,213,85,99,139,76,21,52,334,11,141,228
163,205,82,66,122,121,18,79,14,12,144,203
250,216,82,102,133,104,15,86,18,356,155,223
220,202,86,133,153,75,3,78,10,53,169,190
200,207,80,185,171,98,8,80,350,339,138,171
286,217,82,136,106,128,2,105,319,5,143,157
222,228,78,91,83,72,0,113,333,44,156,163
271,257,77,46,78,115,6,118,303,324,163,140
230,225,111,42,110,97,15,115,275,347,175,146
221,249,141,60,133,127,18,18,316,7,188,154
260,285,95,69,120,126,20,48,286,21,168,161
263,259,112,96,142,95,25,67,50,52,129,174
208,217,128,118,115,76,30,90,296,69,191,193
213,206,123,135,94,116,34,37,24,74,163,176
202,210,134,128,54,134,37,120,320,353,143,174
187,207,145,121,33,207,39,87,319,15,169,158
165,190,137,121,66,146,39,118,329,12,185,172
148,173,136,103,98,114,36,145,340,11,176,187
156,166,138,107,103,80,33,117,344,22,149,207
168,155,136,87,143,59,28,96,4,358,94,241
207,141,142,64,99,41,19,70,29,30,135,233
243,132,128,68,71,76,8,44,48,348,189,221
278,112,155,85,48,130,357,36,55,335,23,228
267,94,136,102,61,63,355,37,36,318,136,206
225,100,126,118,33,80,9,49,359,14,123,196
248,117,119,149,138,108,22,71,2,359,122,204
288,141,128,154,132,141,39,25,27,342,132,194
251,158,148,140,108,169,32,43,47,306,152,167
339,182,139,132,69,115,24,51,2,319,166,206
295,164,153,128,37,201,50,37,5,347,186,220
292,125,129,107,23,157,36,46,2,315,196,216
314,133,116,90,54,179,16,19,349,317,185,247
338,148,104,71,85,206,27,63,313,318,181,255
11,155,98,47,92,135,36,97,331,332,171,198
314,164,95,38,111,168,33,55,357,330,192,184
265,165,106,67,129,89,22,40,8,342,169,145
201,171,134,77,82,160,19,349,13,286,139,116
