Scotts Sinuous
56
2
4
186
149
178
53
355
337
270
294
259
291
222
249
245
271
240
246
139
179
264
256
174
329
149
324
296
184
284
321
333
94
352
131
10
356
331
12
359
45
358
269
324
44
7
0
347
33
316
296
26
271
