,River,Dispersion
0,Piave,0.715
1,Ganges 1,0.635
2,Ghaghara,0.69
3,Athabasca,0.709
4,Ucayali Anastomosing,0.646
5,Sungai Pomats Tributary,0.701
6,Strickland,0.632
