Niabrara,Rakaia,Tagliamento
89,154,174
114,145,197
116,181,174
121,149,205
107,132,240
140,100,148
105,120,166
88,130,204
48,150,202
97,165,174
85,179,152
43,132,212
30,158,175
90,183,232
135,210,199
102,208,142
63,159,222
120,100,162
148,129,222
91,184,206
131,170,173
173,175,203
120,150,235
166,148,169
113,121,163
69,135,201
132,196,232
140,180,201
103,160,216
66,127,193
90,161,180
85,122,164
107,153,136
82,164,120
71,128,175
103,143,209
120,177,231
91,198,193
58,174,184
29,154,203
170,158,164
135,126,160
87,184,237
140,187,237
146,180,236
105,172,117
175,166,148
123,154,178
178,146,215
95,128,204
134,176,198
129,152,216
173,178,256
138,155,253
157,143,228
131,157,252
194,135,180
176,140,217
205,147,226
142,110,183
195,126,225
95,96,154
124,83,181
153,116,221
143,133,228
102,161,199
123,132,156
90,166,176
119,143,223
162,105,193
200,129,159
158,62,246
158,211,213
219,141,252
154,219,226
214,113,186
220,142,152
167,151,216
164,98,180
140,203,161
135,126,197
140,161,168
120,119,240
191,134,211
186,114,171
140,115,234
135,168,218
139,105,148
160,123,194
137,133,198
87,183,143
62,124,216
168,150,205
135,135,185
90,147,246
142,92,210
77,122,246
167,211,218
116,188,203
154,158,242
104,156,188
104,193,258
177,172,187
147,138,202
124,97,254
150,138,197
169,144,197
148,94,189
160,82,178
147,61,230
82,160,220
161,104,204
176,127,185
150,144,160
149,99,144
123,151,164
125,119,192
167,123,224
107,156,234
153,114,228
124,167,200
140,152,166
123,162,249
112,140,204
76,114,234
110,123,200
143,151,194
157,166,180
133,149,241
107,128,205
164,146,231
122,163,157
161,126,199
126,90,202
100,135,171
135,162,153
78,197,230
130,181,180
172,157,206
148,136,162
85,113,187
151,87,234
171,95,185
133,120,197
172,133,183
62,162,209
152,150,210
123,178,242
114,166,223
74,156,230
122,146,240
109,91,237
75,180,187
169,139,198
144,105,252
92,167,250
140,103,224
119,49,217
72,96,205
88,112,179
120,137,236
30,114,237
90,93,215
114,80,166
144,126,196
69,100,170
52,140,148
77,192,213
25,131,184
88,161,171
119,197,158
92,177,240
120,130,214
136,163,181
168,135,198
117,159,178
126,127,234
66,91,230
106,120,222
114,133,284
109,109,213
139,75,229
153,123,187
169,172,214
139,160,164
128,201,240
94,157,200
64,115,222
114,181,202
122,187,247
138,144,224
82,152,197
111,125,163
114,108,213
150,80,226
96,121,165
115,89,208
89,108,211
114,117,227
126,178,184
100,131,198
156,93,218
117,152,223
91,170,215
143,179,260
107,118,228
111,158,196
108,133,182
132,139,217
155,166,211
125,115,225
48,200,207
83,145,215
76,95,196
132,149,227
117,178,211
87,160,201
105,111,191
145,134,245
131,145,192
133,166,206
80,109,196
124,165,229
150,215,214
74,158,200
105,151,206
63,163,228
89,140,274
147,114,155
111,91,201
102,131,184
119,171,230
97,89,173
62,183,223
127,157,198
149,116,152
87,131,274
115,215,195
78,124,215
120,167,186
114,152,166
130,144,219
126,186,170
48,169,222
134,96,157
176,133,179
59,136,185
159,91,213
98,128,198
72,172,224
96,110,198
129,135,248
122,136,180
102,110,225
34,105,210
52,127,138
15,106,192
83,119,226
88,168,213
79,133,191
94,117,173
49,138,161
89,147,130
80,102,155
48,94,166
50,107,137
33,173,209
87,157,172
47,145,212
19,145,187
41,144,185
76,100,199
98,141,166
22,166,143
51,161,163
66,141,207
106,133,194
97,169,210
41,111,186
121,92,168
102,80,136
83,116,169
61,150,151
31,120,216
67,108,186
88,77,153
137,121,168
103,83,173
158,127,168
121,165,178
118,145,216
141,122,201
124,87,161
135,121,155
129,145,183
63,112,150
102,89,173
133,48,183
110,143,131
115,119,163
79,59,134
68,166,219
87,103,173
126,94,175
51,153,219
179,135,198
133,150,156
111,177,163
89,137,209
68,114,175
88,135,173
112,108,158
107,116,182
66,89,191
82,67,204
122,162,162
171,113,148
141,132,214
133,142,220
130,99,114
114,77,127
91,58,183
118,74,154
82,158,222
36,141,144
50,80,180
110,68,113
83,89,215
65,153,184
130,110,147
72,152,147
103,171,176
127,122,215
108,156,179
54,127,215
105,125,136
132,143,222
10,174,228
76,131,148
133,119,203
113,178,180
163,142,151
51,170,166
54,92,196
120,65,168
92,134,211
138,110,208
64,128,171
3,119,151
69,75,144
0,70,147
78,110,178
32,125,183
65,149,162
113,126,194
38,127,217
14,87,139
64,121,196
58,116,175
72,118,180
61,140,154
25,136,220
24,175,217
37,110,175
35,154,222
111,102,116
87,162,153
43,107,161
112,149,155
77,137,191
102,127,163
75,95,138
41,116,171
113,74,187
135,51,134
79,94,144
94,76,157
63,131,145
53,149,171
68,146,209
119,193,120
94,135,165
107,77,209
82,166,244
52,154,198
86,102,159
46,111,110
359,137,144
94,154,188
53,135,237
97,159,121
114,140,172
79,82,229
51,125,188
75,84,202
125,120,217
56,119,175
34,185,152
68,113,193
101,109,236
115,143,168
108,175,173
102,163,154
82,118,212
111,172,191
115,138,201
77,127,202
49,111,177
110,173,167
