Cedar Mountian Full
167
163
158
157
150
144
135
114
103
94
87
87
77
75
71
60
61
60
59
110
110
156
179
208
216
204
190
174
138
104
100
91
97
97
107
100
93
81
91
86
110
118
124
103
92
84
69
67
60
50
46
27
21
25
30
43
55
57
53
45
43
41
36
43
54
61
71
83
85
88
90
57
48
41
36
21
26
46
80
107
136
143
126
118
113
111
118
114
121
111
110
99
80
84
43
29
10
3
19
24
21
25
33
50
55
65
69
87
71
74
62
74
86
91
96
107
112
118
