Amazon Multi-Storey
174
127
84
43
2
328
288
303
329
333
3
48
281
322
8
17
337
21
80
134
142
102
43
359
319
274
281
322
8
17
337
21
80
134
142
102
43
359
319
274
190
160
105
79
36
346
318
1
45
357
293
356
31
69
4
42
344
300
255
205
181
321
8
63
10
304
272
220
271
336
296
7
49
73
321
8
63
10
304
272
220
271
336
296
7
49
73
