Lower Boundary Sandstone
106
336
175
62
69
166
296
106
35
24
42
39
29
54
95
338
96
62
40
355
22
318
318
11
62
328
371
286
336
330
311
334
326
291
0
2
49
5
349
354
27
211
236
309
356
20
14
294
315
5
14
321
8
313
20
354
299
354
205
13
311
46
346
52
345
16
31
321
