Boundary Sandstone
114
196
341
322
62
331
39
292
356
316
310
176
51
27
305
122
335
323
265
134
68
193
358
74
332
202
291
0
355
4
5
301
238
319
187
189
251
260
306
344
300
391
340
346
57
327
29
6
336
311
54
51
319
347
4
34
353
27
