,Dispersion,River
0,Cf-16,
1,Cf-13,
2,Cf-12,0.41160029802275
3,BS-SouthRim,
4,BS-SaddleMtn,
5,AS-WW-1,
6,AS-WW-2,
7,Wa-18,
8,WW-EX-1,
